"Title","Nome"
"Methods","Métodos habilitados"
"Days to expire cache","Dias para expiração do cache"
"Administrative code","Código administrativo"
"Administrative password","Senha administrativa"
"Default product width","Comprimento padrão do produto"
"Default product length","Largura padrão do produto"
"Default product height","Altura padrão do produto"
"Use centimeters. Used only when the product doesn't have it defined.","Utilize centímetros. Esta configuração é utilizada apenas quando ela não for definida diretamente no produto."
"Days","Prazo"
"Origin","Origem"
"Range from","Destino de"
"Range to","Destino até"
"Range","Faixas de CEP"
"New Range","Nova faixa de CEP"
"Edit Range '%s'","Editar faixa de CEP '%s'"
"Edit Range","Editar faixa de CEP"
"This range no longer exists.","Esta faixa de CEP não existe."
"The range has been deleted.","A faixa de CEP foi removida."
"The range has been saved.","A faixa de CEP foi salva."
"Please select range(s).","Por favor, selecione uma ou mais faixas de CEP para deletar."
"Total of %d record(s) were deleted.","O total de %d faixa(s) de CEP foram removidas."
"Max Weight (kg)","Peso máximo (kg)"
"The range specified conflits with other ranges.","A faixa de CEP definida conflita com outra já existente."
"Origin is invalid.","A origem é invalida."
"Destination from is invalid.","'Destino de' é inválido."
"Destination to is invalid.","'Destino até' é inválido."
"%s (ask for delivery time)","%s (consulte-nos para prazo)"
"%s (delivery in %d business days)","%s (entrega em %d dias úteis)"
"Webservice timeout","Timeout do webservice"
"After timeout, it will fallback to ranges","Após o timeout, serão usadas as faixas de CEP"
